id,weight,height,sex,smokes
UK_0001,180.8,-1,male,0
UK_0002,141.1,65.7,male,0
UK_0003,180.8,68.5,male,0
UK_0004,218.3,68.9,male,0
UK_0005,147.7,62.6,female,0
UK_0006,216,68.5,male,0
UK_0007,141.1,63,FEMALE,0
UK_0008,103.6,61.4,female,0
UK_0009,200.6,67.3,female,0
UK_0010,160.9,66.1,male,0
UK_0011,176.4,65.7,Woman,0
UK_0012,167.5,59.8,female,0
UK_0013,205,-1,male,1
UK_0014,189.6,68.1,male,1
UK_0015,149.9,65.4,FEMALE,0
UK_0016,121.3,-1,female,0
UK_0017,158.7,68.9,male,0
UK_0018,189.6,68.5,male,0
UK_0019,999,73.6,Male,0
UK_0020,200.6,63.8,female,0
UK_0021,202.8,73.2,male,0
UK_0022,222.7,70.1,male,0
UK_0023,165.3,64.2,male,0
UK_0024,97,-1,male,0
UK_0025,169.8,74,Male,0
UK_0026,136.7,65,male,0
UK_0027,211.6,67.7,male,0
UK_0028,999,68.9,male,0
UK_0029,183,63,female,0
UK_0030,196.2,68.1,male,0
UK_0031,187.4,67.3,male,1
UK_0032,185.2,65.7,male,0
UK_0033,196.2,66.9,male,0
UK_0034,999,65,female,1
UK_0035,167.5,66.1,MALE,0
UK_0036,202.8,67.3,male,0
UK_0037,160.9,73.6,male,0
UK_0038,187.4,65.7,male,0
UK_0039,178.6,66.5,male,0
UK_0040,156.5,61.4,male,0
UK_0041,999,71.7,male,0
UK_0042,999,69.3,male,0
UK_0043,999,70.9,male,0
UK_0044,209.4,-1,male,0
UK_0045,127.9,59.8,Female,0
UK_0046,152.1,66.5,male,0
UK_0047,178.6,-1,male,0
UK_0048,216,65,female,0
UK_0049,211.6,69.3,male,0
UK_0050,143.3,63.4,male,0
UK_0051,209.4,69.7,male,0
UK_0052,156.5,72,Male,0
UK_0053,156.5,71.3,male,0
UK_0054,999,67.3,male,0
UK_0055,191.8,62.6,female,0
UK_0056,207.2,67.7,male,0
UK_0057,167.5,65,female,0
UK_0058,211.6,63.8,female,0
UK_0059,999,68.9,male,0
UK_0060,112.4,66.1,female,0
UK_0061,152.1,65.7,male,0
UK_0062,180.8,69.7,male,0
UK_0063,999,65,female,0
UK_0064,176.4,63,Female,1
UK_0065,125.7,64.2,female,0
UK_0066,156.5,66.5,female,0
UK_0067,196.2,70.5,male,0
UK_0068,130.1,66.1,female,0
UK_0069,211.6,71.3,male,0
UK_0070,136.7,67.7,male,0
UK_0071,224.9,68.1,female,0
UK_0072,205,75.2,male,0
UK_0073,112.4,60.2,female,0
UK_0074,242.5,66.1,female,0
UK_0075,200.6,65,male,0
UK_0076,158.7,70.1,Male,0
UK_0077,169.8,67.7,male,0
UK_0078,191.8,68.1,male,0
UK_0079,138.9,70.1,male,0
UK_0080,165.3,68.1,Male,0
UK_0081,194,65,female,0
UK_0082,191.8,69.7,male,0
UK_0083,209.4,70.1,male,0
UK_0084,999,67.7,male,1
UK_0085,216,70.9,male,0
UK_0086,125.7,67.7,male,0
UK_0087,191.8,69.7,male,0
UK_0088,147.7,69.7,male,0
UK_0089,238.1,69.3,male,0
UK_0090,176.4,67.3,male,0
UK_0091,196.2,71.7,male,0
UK_0092,174.2,69.7,male,0
UK_0093,213.8,70.5,male,0
UK_0094,246.9,69.3,female,0
UK_0095,163.1,70.1,Male,0
UK_0096,121.3,63,female,0
UK_0097,176.4,-1,female,1
UK_0098,149.9,61,female,0
UK_0099,222.7,68.5,MALE,0
UK_0100,999,72.4,male,0
UK_0101,180.8,72,male,0
UK_0102,207.2,70.1,male,1
UK_0103,114.6,59.4,female,0
UK_0104,167.5,70.9,male,0
UK_0105,999,66.9,female,0
UK_0106,202.8,69.3,Male,0
UK_0107,205,67.3,male,0
UK_0108,238.1,70.1,male,0
UK_0109,149.9,-1,male,0
UK_0110,165.3,61.4,FEMALE,1
UK_0111,218.3,66.5,female,0
UK_0112,185.2,75.6,male,0
UK_0113,202.8,68.1,male,0
UK_0114,191.8,71.3,MALE,0
UK_0115,112.4,62.2,female,0
UK_0116,999,74.8,male,0
UK_0117,209.4,78,male,0
UK_0118,108,59.8,Female,0
UK_0119,178.6,71.3,male,0
UK_0120,169.8,66.5,female,0
UK_0121,176.4,67.7,Male,0
UK_0122,158.7,62.2,female,0
UK_0123,209.4,70.5,male,0
UK_0124,999,68.1,male,0
UK_0125,196.2,64.2,Male,0
UK_0126,189.6,66.5,male,0
UK_0127,143.3,63.4,male,0
UK_0128,999,65.7,male,0
UK_0129,205,69.3,male,0
UK_0130,185.2,66.1,male,1
UK_0131,216,64.2,Male,0
UK_0132,999,68.9,male,1
UK_0133,224.9,74,male,0
UK_0134,101.4,63.8,female,1
UK_0135,999,68.5,female,0
UK_0136,222.7,71.3,male,1
UK_0137,172,66.1,female,0
UK_0138,174.2,69.3,male,0
UK_0139,143.3,65.4,male,0
UK_0140,167.5,64.6,male,0
UK_0141,156.5,70.5,Male,0
UK_0142,207.2,74.4,male,0
UK_0143,999,-1,female,0
UK_0144,999,66.5,female,1
UK_0145,145.5,63,female,0
UK_0146,198.4,68.9,MALE,0
UK_0147,207.2,71.7,male,0
UK_0148,185.2,65,male,1
UK_0149,999,72.4,Male,0
UK_0150,130.1,64.6,female,0
UK_0151,134.5,65.4,male,0
UK_0152,200.6,68.1,male,0
UK_0153,183,65.4,female,0
UK_0154,999,65,male,0
UK_0155,183,68.5,female,0
UK_0156,147.7,63,female,0
UK_0157,999,60.6,female,0
UK_0158,156.5,66.9,FEMALE,0
UK_0159,121.3,61.8,FEMALE,0
UK_0160,999,63.8,female,0
UK_0161,167.5,70.9,male,1
UK_0162,158.7,69.7,male,0
UK_0163,123.5,63.8,female,1
UK_0164,174.2,67.7,male,1
UK_0165,194,71.3,male,0
UK_0166,200.6,69.3,male,0
UK_0167,174.2,62.2,female,0
UK_0168,141.1,66.1,male,0
UK_0169,205,67.7,male,0
UK_0170,154.3,63.8,female,0
UK_0171,180.8,67.3,male,0
UK_0172,189.6,67.3,female,0
UK_0173,999,69.7,male,0
UK_0174,108,63.8,female,0
UK_0175,207.2,66.5,female,0
UK_0176,149.9,65.7,female,0
UK_0177,180.8,-1,MALE,0
UK_0178,130.1,65.4,male,0
UK_0179,178.6,71.7,male,0
UK_0180,999,67.3,male,0
UK_0181,999,74.8,male,0
UK_0182,183,67.7,male,0
UK_0183,999,67.7,male,0
UK_0184,116.8,66.9,female,0
UK_0185,154.3,62.2,FEMALE,0
UK_0186,187.4,67.7,male,0
UK_0187,163.1,70.1,male,0
UK_0188,163.1,66.1,Woman,1
UK_0189,999,71.3,male,1
UK_0190,194,68.5,male,0
UK_0191,130.1,67.7,MALE,0
UK_0192,138.9,62.6,female,0
UK_0193,194,67.7,MALE,0
UK_0194,172,66.9,male,0
UK_0195,999,70.5,male,0
UK_0196,227.1,68.5,male,1
UK_0197,227.1,74.4,male,0
UK_0198,202.8,-1,male,1
UK_0199,134.5,66.5,male,0
UK_0200,187.4,70.5,male,0
UK_0201,147.7,62.2,female,0
UK_0202,138.9,69.7,MALE,0
UK_0203,158.7,68.1,male,0
UK_0204,999,66.1,female,0
UK_0205,205,70.9,male,0
UK_0206,180.8,68.5,male,0
UK_0207,242.5,72,male,0
UK_0208,167.5,67.3,female,0
UK_0209,198.4,66.9,male,1
UK_0210,196.2,71.3,MALE,0
UK_0211,169.8,68.1,male,0
UK_0212,116.8,61.8,female,0
UK_0213,180.8,65.4,male,0
UK_0214,196.2,71.3,male,0
UK_0215,202.8,66.9,male,0
UK_0216,220.5,69.7,male,0
UK_0217,216,65.7,Female,0
UK_0218,165.3,65.7,female,0
UK_0219,141.1,62.6,Female,0
UK_0220,143.3,68.1,female,0
UK_0221,174.2,67.7,Male,0
UK_0222,167.5,66.9,male,0
UK_0223,216,68.1,male,0
UK_0224,141.1,61.8,female,0
UK_0225,127.9,63.8,Male,0
UK_0226,165.3,68.1,male,0
UK_0227,178.6,71.7,male,0
UK_0228,176.4,66.1,female,0
UK_0229,233.7,73.2,male,0
UK_0230,167.5,70.1,male,0
UK_0231,176.4,68.9,male,1
UK_0232,136.7,63,female,0
UK_0233,187.4,68.1,male,0
UK_0234,156.5,64.6,female,0
UK_0235,231.5,75.6,male,0
UK_0236,134.5,69.3,male,1
UK_0237,999,61.4,Woman,1
UK_0238,229.3,67.7,male,0
UK_0239,169.8,65.4,female,0
UK_0240,169.8,68.1,male,0
UK_0241,999,68.1,female,0
UK_0242,205,71.3,male,0
UK_0243,114.6,58.3,female,0
UK_0244,92.6,63,female,0
UK_0245,105.8,58.7,female,0
UK_0246,180.8,63.4,female,0
UK_0247,202.8,69.3,male,0
UK_0248,143.3,61.4,male,0
UK_0249,160.9,67.7,female,0
UK_0250,187.4,61,Female,0
UK_0251,183,65.7,female,0
UK_0252,999,70.1,male,0
UK_0253,158.7,64.6,male,0
UK_0254,187.4,66.9,male,0
UK_0255,231.5,72,male,0
UK_0256,145.5,60.6,female,0
UK_0257,187.4,70.5,male,0
UK_0258,183,65.7,male,0
UK_0259,231.5,69.7,male,0
UK_0260,194,68.5,Male,0
UK_0261,132.3,63.4,Female,0
UK_0262,213.8,68.5,male,0
UK_0263,127.9,65.4,male,0
UK_0264,194,67.3,male,0
UK_0265,999,72.8,Male,0
UK_0266,183,67.7,male,0
UK_0267,191.8,67.7,male,0
UK_0268,123.5,65.4,female,0
UK_0269,999,66.5,male,1
UK_0270,185.2,67.7,male,1
UK_0271,180.8,69.7,male,0
UK_0272,999,66.9,male,0
UK_0273,183,68.1,male,0
UK_0274,172,63.8,female,0
UK_0275,136.7,-1,male,0
UK_0276,158.7,63.8,female,0
UK_0277,61.7,61,female,0
UK_0278,185.2,64.6,male,0
UK_0279,178.6,68.1,male,0
UK_0280,143.3,61,Woman,0
UK_0281,163.1,67.7,male,1
UK_0282,200.6,-1,male,0
UK_0283,163.1,63.8,female,0
UK_0284,156.5,66.1,male,0
UK_0285,167.5,-1,male,0
UK_0286,244.7,74.4,Male,0
UK_0287,125.7,68.9,male,0
UK_0288,149.9,65.4,male,1
UK_0289,134.5,60.2,female,1
UK_0290,172,69.3,male,0
UK_0291,158.7,70.9,male,0
UK_0292,160.9,68.1,female,0
UK_0293,132.3,72,Female,0
UK_0294,138.9,70.5,Male,0
UK_0295,209.4,70.1,male,0
UK_0296,999,71.3,male,0
UK_0297,222.7,69.7,male,0
UK_0298,209.4,71.7,male,0
UK_0299,187.4,68.9,male,0
UK_0300,156.5,66.5,female,0
UK_0301,196.2,70.5,male,1
UK_0302,253.5,71.3,Male,0
UK_0303,999,65.4,Woman,0
UK_0304,198.4,66.9,male,0
UK_0305,167.5,65.7,male,0
UK_0306,165.3,63,female,0
UK_0307,238.1,68.9,male,0
UK_0308,125.7,63,female,0
