id,weight,height,sex,smokes
S1272,61,NA,female,no
S1288,105,NA,female,no
S1361,92,NA,female,no
S1091,78,182,male,no
S1351,83,NA,female,no
S1247,66,NA,female,no
S1396,89,NA,female,no
S1425,81,NA,female,no
S1246,91,NA,female,no
S1063,88,173,male,no
S1067,84,178,male,no
S1181,89,167,male,no
S1140,83,165,male,no
S1393,63,157,female,no
S1053,89,175,male,no
S1145,59,164,male,yes
S1059,91,176,male,no
S1024,79,170,male,no
S1282,70,NA,female,no
S1129,85,168,male,no
S1267,67,NA,female,no
S1087,88,183,male,no
S1373,78,NA,female,no
S1259,84,NA,female,no
S1199,79,171,male,no
S1342,76,NA,female,no
S1038,117,175,male,no
S1239,99,NA,female,no
S1133,121,175,male,no
S1404,69,NA,female,no
S1120,82,168,male,no
S1146,79,171,male,no
S1364,67,NA,female,no
S1158,91,172,male,no
S1030,113,184,male,yes
S1057,75,164,male,yes
S1240,65,NA,female,no
S1128,78,176,male,no
S1151,96,181,male,no
S1471,64,NA,female,no
S1306,107,NA,female,no
S1359,95,NA,female,no
S1298,70,NA,female,no
S1230,52,NA,female,no
S1173,84,175,male,no
S1368,106,NA,female,no
S1061,113,178,male,no
S1376,62,NA,female,no
S1449,76,NA,female,no
S1265,50,NA,female,no
S1440,81,NA,female,no
S1453,100,NA,female,no
S1166,102,177,male,no
S1071,69,172,male,no
S1441,79,NA,female,no
S1192,93,173,male,no
S1136,100,183,male,no
S1175,69,170,male,no
S1377,80,NA,female,no
S1405,62,NA,female,no
S1322,101,NA,female,no
S1157,78,179,male,no
S1379,108,NA,female,no
S1438,76,NA,female,no
S1408,78,NA,female,yes
S1348,72,NA,female,no
S1345,57,NA,female,no
S1370,74,NA,female,yes
S1107,100,169,male,no
S1394,88,NA,female,no
S1037,110,179,male,no
S1074,75,170,male,no
S1375,75,NA,female,no
S1372,63,NA,female,no
S1023,87,168,male,yes
S1284,63,NA,female,no
S1092,115,179,male,no
S1416,77,NA,female,no
S1124,99,173,male,no
S1086,68,177,male,no
S1321,97,163,female,no
S1388,61,NA,female,no
S1178,99,177,male,no
S1253,82,NA,female,yes
S1292,60,NA,female,no
